시설명,X,Y
디딤돌주간보호센터,193663.7771603514,546039.2028740762
구립강서구직업재활센터,186907.08405840432,551997.3472747193
작은숨골공동생활가정,194143.42720730725,554904.5493854502
서울시립미래형장애인직업재활시설그린내,193629.0938713952,553725.0066679948
논현제2공동생활가정,202476.1404300254,546174.7269919149
포도원복지센터,192334.73481890943,558530.2440564308
마포구수어통역센터,191232.24169717904,551762.9279784715
메타아카데미주간보호센터,212344.3895951059,549241.8790371461
하나인장애인주간보호센터,207812.0250540915,551178.1750126862
희망일터,207633.05806832295,550500.6806658284
서울시립미래형장애인직업재활시설굿윌스토어,212617.65643354828,544556.8290635303
소망의집,208365.9965798636,544470.7369980259
사랑의집,213140.69315569807,543603.8244053848
희망을긷는샘,201053.38548174736,562112.5654694238
내일을 꿈꾸는 사람들,204430.48352216257,563828.0171483974
로뎀나무,186706.32481190248,549606.1529665565
빛가람장애인시설,195428.0342558548,561760.879692858
아름드리주간보호센터,205535.4527028368,551909.2678058766
로뎀하우스,187095.81267946848,550788.6082819047
구립송파구장애인보호작업장,212688.4209409699,543525.6870037414
바우뫼주간보호센터,202378.1866845821,541369.785870427
맑은샘장애인주간보호시설 ,186261.4926975908,546544.2168325118
다솜센터(시립서대문장애인단기보호센터),193685.12573525755,553094.1377318125
보라매보호작업장,189327.97195387405,542286.8178479918
시립중랑장애인단기거주시설 행복누리,208338.50257504743,554916.0628438548
드림장애인보호작업장,185655.8143862344,546450.0673295396
갑을충의장애인공동생활가정,192719.98477382807,542018.2478331035
행복한나무,190592.38879985968,547151.6966954564
갑을장애인직업휴먼센터,192736.59926590667,542032.0733732546
우리마포보호작업장,194891.74029240635,550704.4274232584
송파위더스,213909.30570074613,543554.7292851439
렘넌트주간보호센터,212169.3379552538,544788.3026494768
우리마포장애인주간이용센터,194923.9933516377,550692.9314752426
해누리하우스,185262.30019683216,548053.3661297101
사랑나눔송파,213536.88442018247,544092.9144100121
유일장애인공동생활가정,203430.5418439512,561991.3535491056
효정,201427.13730863325,558875.150178559
한다솜장애인공동생활가정,214219.5685000524,551326.7755161502
다사랑(대한정신보건가족협회),182262.97025188277,553479.9499625026
