시군구명,시설명,시설주소,시설종류명(시설유형),정원(수용인원),현인원,X,Y
송파구,사랑의집,서울특별시 송파구 오금로64나길 11-1301호,(장애인) 장애인공동생활가정,4.0,4.0,213140.69315569807,543603.8244053848
강북구,희망을긷는샘,서울특별시 강북구 삼양로163길 31-5101호,(장애인) 장애인공동생활가정,4.0,3.0,201053.38548174736,562112.5654694238
노원구,내일을 꿈꾸는 사람들,서울특별시 노원구 동일로237바길 11-8101호(상계동),(장애인) 장애인공동생활가정,3.0,3.0,204430.48352216257,563828.0171483974
강서구,로뎀나무,서울특별시 강서구 까치산로18나길 36오성빌라 1층,(장애인) 장애인주간보호시설,10.0,11.0,186706.32481190248,549606.1529665565
은평구,빛가람장애인시설,서울특별시 은평구 대서문길 36지하 1층 (진관동),(장애인) 장애인보호작업장,20.0,28.0,195428.03425585476,561760.879692858
동대문구,아름드리주간보호센터,서울특별시 동대문구 한천로58길 1071층 (이문동),(장애인) 장애인주간보호시설,10.0,10.0,205535.4527028368,551909.2678058766
강서구,로뎀하우스,서울특별시 강서구 공항대로45가길 29102동 201호 (등촌동),(장애인) 장애인단기거주시설,10.0,11.0,187095.81267946848,550788.6082819047
송파구,구립송파구장애인보호작업장,서울특별시 송파구 양산로 53층,(장애인) 장애인보호작업장,20.0,20.0,212688.4209409699,543525.6870037414
서초구,바우뫼주간보호센터,서울특별시 서초구 바우뫼로 43 1층 ,(장애인) 장애인주간보호시설,10.0,10.0,202378.18668458206,541369.785870427
양천구,맑은샘장애인주간보호시설 ,서울특별시 양천구 신월로 192201호 (신월동),(장애인) 장애인주간보호시설,12.0,12.0,186261.4926975908,546544.2168325118
서대문구,다솜센터(시립서대문장애인단기보호센터),서울특별시 서대문구 증가로4길 58-16(홍은동),(장애인) 장애인단기거주시설,10.0,10.0,193685.12573525755,553094.1377318125
금천구,보라매보호작업장,서울특별시 금천구 가산디지털2로 136승일벤처타워302,(장애인) 장애인보호작업장,0.0,34.0,189327.97195387405,542286.8178479918
중랑구,시립중랑장애인단기거주시설 행복누리,서울특별시 중랑구 겸재로61길 81(망우동),(장애인) 장애인단기거주시설,10.0,11.0,208338.50257504746,554916.0628438548
양천구,드림장애인보호작업장,서울특별시 양천구 지양로 7 (신월동),(장애인) 장애인보호작업장,40.0,21.0,185655.81438623441,546450.0673295396
관악구,갑을충의장애인공동생활가정,서울특별시 관악구 난우16길 13-3 (신림동),(장애인) 장애인공동생활가정,4.0,4.0,192719.98477382807,542018.2478331035
영등포구,행복한나무,"서울특별시 영등포구 양산로 96 양산로 96, 산경물산 A30호(당산동2가)",(장애인) 장애인보호작업장,20.0,20.0,190592.38879985968,547151.6966954564
관악구,갑을장애인직업휴먼센터,서울특별시 관악구 난우16길 13-7 (신림동),(장애인) 장애인보호작업장,26.0,30.0,192736.59926590667,542032.0733732546
마포구,우리마포보호작업장,서울특별시 마포구 신촌로26길 10우리마포보호작업장,(장애인) 장애인보호작업장,19.0,20.0,194891.74029240635,550704.4274232584
송파구,송파위더스,서울특별시 송파구 성내천로 333-4333-4 (마천동),(장애인) 장애인보호작업장,30.0,18.0,213909.30570074613,543554.7292851439
송파구,렘넌트주간보호센터,서울특별시 송파구 동남로 303-83층 (오금동),(장애인) 장애인주간보호시설,10.0,11.0,212169.3379552538,544788.3026494768
마포구,우리마포장애인주간이용센터,서울특별시 마포구 신촌로26길 103층,(장애인) 장애인주간보호시설,12.0,12.0,194923.9933516377,550692.9314752426
양천구,해누리하우스,서울특별시 양천구 곰달래로3길 24-12201호 (신월동),(장애인) 장애인공동생활가정,4.0,3.0,185262.30019683216,548053.3661297101
송파구,사랑나눔송파,서울특별시 송파구 성내천로42길 11301호 (마천동),(장애인) 장애인공동생활가정,4.0,4.0,213536.88442018247,544092.9144100121
도봉구,유일장애인공동생활가정,"서울특별시 도봉구 도봉로133길 14A동 301호 (쌍문동, 성원하이츠아파트)",(장애인) 장애인공동생활가정,4.0,4.0,203430.54184395119,561991.3535491056
